Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,701624,-,-,-,32.77,-96.82,0,130,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Wind Direction,Relative Humidity,Temperature,
2019,1,1,0,0,0,0,0,0,4.9,0.18,1.6,288,77.47,8.6,N/A
2019,1,1,0,30,0,0,0,7,4.9,0.18,1.7000000000000002,298,79.68,8.200000000000001,N/A
2019,1,1,1,0,0,0,0,7,4.3,0.18,1.7000000000000002,309,78.46000000000001,7.800000000000001,N/A
2019,1,1,1,30,0,0,0,7,4.3,0.18,1.9000000000000001,319,80.71000000000001,7.4,N/A
2019,1,1,2,0,0,0,0,0,3.6,0.18,2.1,328,79.42,6.9,N/A
2019,1,1,2,30,0,0,0,0,3.6,0.18,2.3000000000000003,334,82.28,6.4,N/A
2019,1,1,3,0,0,0,0,0,3.1,0.18,2.5,340,81.49,6,N/A
2019,1,1,3,30,0,0,0,0,3.1,0.18,2.7,342,84.44,5.5,N/A
2019,1,1,4,0,0,0,0,0,2.8000000000000003,0.18,3,345,85.87,5,N/A
2019,1,1,4,30,0,0,0,0,2.8000000000000003,0.18,3.4000000000000004,346,87.77,4.7,N/A
2019,1,1,5,0,0,0,0,0,2.7,0.18,3.8000000000000003,347,89.28,4.3,N/A
2019,1,1,5,30,0,0,0,0,2.7,0.18,4.3,349,91.91,3.9000000000000004,N/A
2019,1,1,6,0,0,0,0,0,2.3000000000000003,0.18,4.800000000000001,350,91.65,3.5,N/A
2019,1,1,6,30,0,0,0,0,2.3000000000000003,0.18,5.2,352,95.71000000000001,2.9000000000000004,N/A
2019,1,1,7,0,0,0,0,0,1.2000000000000002,0.18,5.6000000000000005,355,91.65,2.4000000000000004,N/A
2019,1,1,7,30,0,0,0,0,1.2000000000000002,0.18,5.6000000000000005,357,95.65,1.8,N/A
2019,1,1,8,0,0,0,0,0,-0.30000000000000004,0.18,5.6000000000000005,359,89.56,1.2000000000000002,N/A
2019,1,1,8,30,0,0,0,0,-0.30000000000000004,0.18,5.5,181,91.51,0.9,N/A
